Novel Name,Chapter Left off on,Last Read Date,,,,
I'm Not Really Targeting The Mages,129,7/4/2024,,,,
My Life Can Be Infinitely Simulated,47,7/4/2024,,,,
Shocking The Whole Internet!,448,7/4/2024,,,,
Transcendent Dawn,133,7/4/2024,,,,
Immortality: Raising an Ant Queen,234,3/11/2025,,,,
"Longevity, starting from being a chicken raising servant",286,3/11/2025,,,,
Catastrophe Card King,477,3/12/2025,,,,
Constructing Style Wizard,720,3/12/2025,,,,
Cultivation is Just So Scientific,101,3/12/2025,,,,
Cultivation: Start From Simplifying Martial Arts Techniques,669,3/12/2025,,,,
I Have A Demon God Simulator,202,3/12/2025,,,,
My Simulated Road To Immortality,189,3/12/2025,,,,
Witch: Accumulating Experience Through The Knight Breathing Technique,750,3/12/2025,,,,
Da Xuan Martial Saint,35,4/7/2025,,,,
Demon Hunter and His Cabin,40,4/7/2025,,,,
I Slaughtered Through The Dungeon Worlds,28,4/7/2025,,,,
The Gentleman at the End,97,4/7/2025,,,,
There's Definitely Something Wrong With This Murder Mystery Game,63,4/7/2025,,,,
This Sword Cultivator Is Somewhat Dependable,72,4/7/2025,,,,
Honey You Didn't Really Drug Me,401,6/12/2025,,,,
I Can See Through All Things Information,241,6/12/2025,,,,
I Have A Qi Fortune Altar,251,6/12/2025,,,,
Immortality Cultivation: I Can Increase My Stats Using Clansmen,265,6/12/2025,,,,
Kaidan Game Train,27,6/12/2025,,,,
Lord Of Mysterious Wizard,36,6/12/2025,,,,
The Abyssal Garden,295,6/12/2025,,,,
Wizard starting from shoeing donkeys,151,6/12/2025,,,,
Facing An Ancient God For A Year,630,4/23/2026,,,,
Blasphemy Wizard By Deceit World,269,2/14/2026,,,,
Sacrificial Artifact System From Bell Ringer,5,8/14/2025,,,,
Infinite Job Transfer Starting From Mechanic,153,10/30/2025,,,,
Longevity Martial Arts I Have A Mysterious Water Snake,146,11/1/2025,,,,
Welcome To Rewind Game World,59,1/28/2026,,,,
Attaining Immortality Starting From Slaying Demons,130,8/14/2025,,,,
I can rewind time to prevent death,156,8/14/2025,,,,
Immortality Martial Arts: I Started with the Five Animals Health Fist,370,1/28/2026,,,,
Diary of a Dead Wizard,333,8/14/2025,,,,
Ten Day Ultimatum,35,8/14/2025,,,,
